time_h,glucose_gL,biomass_gL,ethanol_gL,tyrosol_gL,mu_1h,qS_mmol_gDCW_h
34,72.1505790621102,0.0856331853836682,2.84540598596297,0.424060945644596,0.0436818781837755,13.1667096097285
34.25,72.0997972615055,0.0865683399767727,2.86930091606196,0.432117049561379,0.0436818781837755,13.1666457863002
34.5,72.0484611486382,0.087513706897132,2.89345665977531,0.440261101857023,0.0436818781837755,13.1665811753856
34.75,71.9965646759796,0.0884693976681547,2.91787606226114,0.448494062312257,0.0436818781837755,13.1665157662019
35,71.9441017300995,0.0894355250311378,2.94256199967439,0.456816901173205,0.0436818781837755,13.166449547794
35.25,71.8910661309501,0.0904122029585659,2.96751737950348,0.46523059926527,0.0436818781837755,13.1663825090304
35.5,71.8374516311421,0.0913995466675566,2.99274514091059,0.473736148108255,0.0436818781837755,13.1663146386002
35.75,71.7832519152135,0.0923976726334527,3.01824825507554,0.482334550032732,0.0436818781837755,13.1662459250095
36,71.7284605988892,0.0934066986035624,3.0440297255435,0.491026818297662,0.0436818781837755,13.1661763565777
36.25,71.6730712283341,0.0944267436110498,3.07009258857631,0.499813977209298,0.0436818781837755,13.166105921434
36.5,71.6170772793973,0.0954579279889769,3.09643991350767,0.508697062241367,0.0436818781837755,13.1660346075133
36.75,71.5604721568484,0.0965003733844994,3.12307480310213,0.517677120156553,0.0436818781837755,13.1659624025527
37,71.5032491936056,0.0975542027732171,3.1500003939179,0.526755209129302,0.0436818781837755,13.1658892940876
37.25,71.4454016499553,0.0986195404736808,3.17721985667363,0.535932398869942,0.0436818781837755,13.165815269447
37.5,71.3869227127633,0.0996965121620586,3.20473639661905,0.545209770750155,0.0436818781837755,13.1657403157503
37.75,71.3278054946781,0.100785244886961,3.23255325390971,0.554588417929801,0.0436818781837755,13.1656644199021
38,71.2680430333246,0.10188586708443,3.26067370398562,0.564069445485114,0.0436818781837755,13.1655875685885
38.25,71.2076282904901,0.102998508593087,3.28910105795401,0.573653970538284,0.0436818781837755,13.1655097482726
38.5,71.146554151301,0.104123300669456,3.31783866297625,0.583343122388437,0.0436818781837755,13.1654309451896
38.75,71.0848134233904,0.10526037600344,3.34688990265885,0.593138042644028,0.0436818781837755,13.1653511453421
39,71.0223988360578,0.10640986873398,3.37625819744866,0.60303988535667,0.0436818781837755,13.1652703344958
39.25,70.9593030394186,0.107571914464877,3.40594700503236,0.613049817156406,0.0436818781837755,13.1651884981741
39.5,70.8955186035451,0.10874665028079,3.43595982074019,0.623169017388432,0.0436818781837755,13.1651056216533
39.75,70.8310380175982,0.109934214763405,3.46630017795404,0.633398678251312,0.0436818781837755,13.1650216899572
40,70.7658536889493,0.111134748007786,3.49697164851985,0.643740004936668,0.0436818781837755,13.1649366878519
40.25,70.699957942294,0.112348391638901,3.52797784316452,0.654194215770389,0.0436818781837755,13.1648505998407
40.5,70.6333430187545,0.113575288828329,3.5593224119172,0.664762542355356,0.0436818781837755,13.1647634101578
40.75,70.5660010749741,0.114815584311151,3.59100904453516,0.675446229715707,0.0436818781837755,13.1646751027633
41,70.4979241822008,0.11606942440302,3.62304147093412,0.686246536442663,0.0436818781837755,13.1645856613369
41.25,70.4291043253618,0.117336957017429,3.65542346162331,0.697164734841911,0.0436818781837755,13.164495069272
41.5,70.3595334021274,0.118618331683151,3.68815882814505,0.708202111082595,0.0436818781837755,13.1644033096694
41.75,70.2892032219658,0.119913699561888,3.72125142351914,0.719359965347892,0.0436818781837755,13.1643103653314
42,70.2181055051867,0.121223213466095,3.75470514269192,0.730639611987225,0.0436818781837755,13.1642162187547
42.25,70.1462318819755,0.122547027877013,3.78852392299013,0.742042379670104,0.0436818781837755,13.164120852124
42.5,70.0735738914172,0.12388529896289,3.82271174457967,0.753569611541626,0.0436818781837755,13.1640242473052
42.75,70.0001229805086,0.125238184597404,3.85727263092919,0.765222665379652,0.0436818781837755,13.1639263858383
43,69.925870503162,0.126605844378289,3.89221064927865,0.777002913753665,0.0436818781837755,13.16382724893
43.25,69.8508077191964,0.127988439646161,3.92752991111288,0.788911744185348,0.0436818781837755,13.1637268174468
43.5,69.7749257933188,0.12938613350355,3.96323457264013,0.800950559310878,0.0436818781837755,13.1636250719066
43.75,69.6982157940948,0.130799090834143,3.9993288352758,0.813120777044964,0.0436818781837755,13.1635219924716
44,69.6206686929076,0.132227478322234,4.03581694613127,0.825423830746658,0.0436818781837755,13.1634175589397
44.25,69.5422753629063,0.133671464472389,4.07270319850788,0.837861169386931,0.0436818781837755,13.1633117507366
44.5,69.4630265779428,0.135131219629322,4.10999193239626,0.850434257718059,0.0436818781837755,13.1632045469073
44.75,69.3829130114979,0.13660691599799,4.14768753498086,0.863144576444823,0.0436818781837755,13.163095926107
45,69.301925235595,0.138098727663911,4.18579444114991,0.87599362239754,0.0436818781837755,13.1629858665926
45.25,69.220053719703,0.139606830613698,4.22431713401078,0.888982908707212,0.0436818781837755,13.1628743462132
45.5,69.1372888296275,0.141131402755821,4.26326014541072,0.90211396498153,0.0436818781837755,13.1627613424007
45.75,69.0536208263899,0.142672623941592,4.30262805646325,0.915388337484289,0.0436818781837755,13.16264683216
46,68.9690398650946,0.144230675986386,4.34242549808,0.928807589315706,0.0436818781837755,13.1625307920591
46.25,68.8835359937844,0.145805742691087,4.38265715150826,0.942373300594929,0.0436818781837755,13.1624131982187
46.5,68.7970991522837,0.147398009863768,4.42332774887415,0.956087068644486,0.0436818781837755,13.1622940263016
46.75,68.7097191710295,0.149007665341618,4.46444207373159,0.969950508176722,0.0436818781837755,13.1621732515019
47,68.6213857698897,0.150634899013094,4.50600496161698,0.983965251482215,0.0436818781837755,13.1620508485335
47.25,68.5320885569691,0.152279902840323,4.54802130060984,0.998132948620212,0.0436818781837755,13.1619267916189
47.5,68.4418170274028,0.15394287088175,4.59049603189924,1.01245526761109,0.0436818781837755,13.1618010544772
47.75,68.3505605621371,0.155623999315029,4.6334341503563,1.02693389463091,0.0436818781837755,13.1616736103118
48,68.2583084266968,0.157323486460167,4.67684070511263,1.04157053420794,0.0436818781837755,13.1615444317977
48.25,68.1650497699401,0.159041532802917,4.72072080014489,1.05636690942145,0.0436818781837755,13.1614134910689
48.5,68.0707736228002,0.160778341018431,4.7650795948655,1.07132476210243,0.0436818781837755,13.1612807597047
48.75,67.9754688970136,0.16253411599517,4.8099223047195,1.08644585303658,0.0436818781837755,13.1611462087162
