strain,point,bioYield,tyrYield
ByTOH8,10,0.0499344949603416,0.0340409385574853
ByTOH8,11,0.0554827721781573,7.75748761653474e-05
ByTOH9,1,0,0.135952853522934
ByTOH9,2,0.00554827721781571,0.124629312432724
ByTOH9,3,0.0110965544356314,0.113305761308391
ByTOH9,4,0.0166448316534471,0.101982215201118
ByTOH9,5,0.0221931088712628,0.0906586690938456
ByTOH9,6,0.0277413860890785,0.0793351229865728
ByTOH9,7,0.0332896633068943,0.0680115768792972
ByTOH9,8,0.03883794052471,0.0566880307720295
ByTOH9,9,0.0443862177425257,0.045364484664758
ByTOH9,10,0.0499344949603414,0.0340409385574862
ByTOH9,11,0.0554827721781571,7.75748762279871e-05
ByTOH10,1,0,0.121792204016479
ByTOH10,2,0.00484734617354198,0.111899200941881
ByTOH10,3,0.00969469234708395,0.102006189100802
ByTOH10,4,0.0145420385206259,0.0921131816429642
ByTOH10,5,0.0193893846941679,0.0822201741851219
ByTOH10,6,0.0242367308677099,0.0723271667272805
ByTOH10,7,0.0290840770412519,0.062434159269442
ByTOH10,8,0.0339314232147938,0.0525411518115985
ByTOH10,9,0.0387787693883358,0.0426481443537671
ByTOH10,10,0.0436261155618778,0.0325674619380208
ByTOH10,11,0.0484734617354198,0.00405902746256304
ByTOHdef,1,0,0.121469741485882
ByTOHdef,2,0.00484012166383971,0.111913945524614
ByTOHdef,3,0.00968024332767941,0.102035678279335
ByTOHdef,4,0.0145203649915191,0.0921574154107635
ByTOHdef,5,0.0193604866553588,0.0822791525421889
ByTOHdef,6,0.0242006083191985,0.0724008896736169
ByTOHdef,7,0.0290407299830382,0.0625226268050447
ByTOHdef,8,0.0338808516468779,0.0526443639364698
ByTOHdef,9,0.0387209733107176,0.0427661010678971
ByTOHdef,10,0.0435610949745574,0.0328878381993292
ByTOHdef,11,0.0484012166383971,6.78971896144151e-05
