strain,point,bioYield,tyrYield
ByTOH4,7,0.210947521333973,0.195447969368789
ByTOH4,8,0.246105441556302,0.146901484276892
ByTOH4,9,0.281263361778631,0.098022605135312
ByTOH4,10,0.31642128200096,0.0490357984205999
ByTOH4,11,0.351579202223289,4.89917058823213e-05
ByTOH5,1,0,0.433798697622084
ByTOH5,2,0.0351579202223289,0.402281680932136
ByTOH5,3,0.0703158404446577,0.370764664242188
ByTOH5,4,0.105473760666987,0.337309610439634
ByTOH5,5,0.140631680889315,0.291406372026431
ByTOH5,6,0.175789601111644,0.243772607093562
ByTOH5,7,0.210947521333973,0.19543112071913
ByTOH5,8,0.246105441556302,0.146901484276893
ByTOH5,9,0.281263361778631,0.098022605135308
ByTOH5,10,0.31642128200096,0.049035798420599
ByTOH5,11,0.351579202223289,4.89917058819014e-05
ByTOH6,1,0,0.433798697622084
ByTOH6,2,0.0349516201340222,0.402466616880712
ByTOH6,3,0.0699032402680444,0.371134536139339
ByTOH6,4,0.104854860402067,0.338037326000925
ByTOH6,5,0.139806480536089,0.292364654511591
ByTOH6,6,0.174758100670111,0.24379793922428
ByTOH6,7,0.209709720804133,0.195235739194618
ByTOH6,8,0.244661340938155,0.146653997749188
ByTOH6,9,0.279612961072177,0.0980226051353077
ByTOH6,10,0.3145645812062,0.0490357984205981
ByTOH6,11,0.349516201340222,4.89917058866047e-05
ByTOH7,1,0,0.429286311009299
ByTOH7,2,0.0349516201340221,0.398158025690993
ByTOH7,3,0.0699032402680442,0.367029740372684
ByTOH7,4,0.104854860402066,0.332426539657064
ByTOH7,5,0.139806480536088,0.287176964670356
ByTOH7,6,0.174758100670111,0.240110729517249
ByTOH7,7,0.209709720804133,0.193048318193348
ByTOH7,8,0.244661340938155,0.145965818862281
ByTOH7,9,0.279612961072177,0.0980226051353098
ByTOH7,10,0.314564581206199,0.0490357984205957
ByTOH7,11,0.349516201340221,4.89917058856048e-05
ByTOH8,1,0,0.3513336973209
ByTOH8,2,0.0349516900373304,0.34971067799166
ByTOH8,3,0.0699033800746607,0.34808765866242
ByTOH8,4,0.104854860402061,0.332426539657071
ByTOH8,5,0.139806480536081,0.287173213065927
ByTOH8,6,0.174758100670101,0.240110729517264
ByTOH8,7,0.209709720804121,0.193048318193366
ByTOH8,8,0.244661340938141,0.145965818862298
ByTOH8,9,0.279612961072162,0.098022605135335
ByTOH8,10,0.314564581206182,0.0490357984206176
ByTOH8,11,0.349516201340202,4.89917059122011e-05
ByTOH9,1,0,0.3513336973209
ByTOH9,2,0.0349516900373305,0.34971067799166
ByTOH9,3,0.069903380074661,0.34808765866242
ByTOH9,4,0.104854860402061,0.332426539657071
ByTOH9,5,0.139806480536081,0.287161662624
ByTOH9,6,0.174758100670102,0.240110729517262
ByTOH9,7,0.209709720804122,0.193048318193365
ByTOH9,8,0.244661340938142,0.145965818862297
ByTOH9,9,0.279612961072163,0.0980226051353331
ByTOH9,10,0.314564581206183,0.0490357984206169
ByTOH9,11,0.349516201340203,4.89917059082044e-05
ByTOH10,1,0,0.351333697320901
ByTOH10,2,0.0327289591104774,0.349813190226855
ByTOH10,3,0.0654579182209548,0.348293385799502
ByTOH10,4,0.0981868773314322,0.311674359920814
ByTOH10,5,0.13091583644191,0.267594084343275
ByTOH10,6,0.163644795552387,0.223535169928529
ByTOH10,7,0.196373754662864,0.17946820993145
ByTOH10,8,0.229102713773342,0.135395980388584
ByTOH10,9,0.261831672883819,0.0913048878351776
ByTOH10,10,0.294560631994297,0.045917489240934
ByTOH10,11,0.327289591104774,4.58762006597257e-05
ByTOHdef,1,0,0.3513336973209
ByTOHdef,2,0.0327266986220211,0.349813295195069
ByTOHdef,3,0.0654533972440422,0.348293595735929
ByTOHdef,4,0.0981800958660633,0.311660411531447
ByTOHdef,5,0.130906794488084,0.267590601403765
ByTOHdef,6,0.163633493110106,0.223530613185748
ByTOHdef,7,0.196360191732127,0.179460943622455
ByTOHdef,8,0.229086890354148,0.135389123421898
ByTOHdef,9,0.261813588976169,0.0913010761045316
ByTOHdef,10,0.29454028759819,0.0459143178613034
ByTOHdef,11,0.327266986220211,4.58730321332918e-05
